pl_name,pl_orbper,pl_rade,pl_masse,st_mass,st_rad,st_teff
TOI-5293 A b,2.9304371,11.893,,,0.5,3692.0
TOI-3023 b,3.9014904,16.257,,,1.69,5512.0
TOI-5238 b,4.8721904,4.896,,,1.02,5430.5
TOI-2803 A b,1.96229325,18.114,309.8827,1.12,1.25,6280.0
HD 149026 b,,,102.97692,1.34,,
TOI-4860 b,1.5227591,8.7,86.7,0.34,0.36,3260.0
NGTS-3 A b,1.6753728,16.589,756.4354,1.02,0.93,5600.0
HAT-P-2 b,5.63347,13.451,3632.7969,1.93,1.71,6412.0
TOI-5344 b,3.792622,9.7,135.0,0.59,0.56,3770.0
TOI-2977 b,2.3505698,12.982,,,1.22,5356.0
KELT-12 b,5.0316328,,,1.59,2.37,6279.0
TOI-5344 b,3.792622,10.604,130.9453,0.61,0.59,3747.0
HD 104067 b,55.851,,,0.82,0.78,4952.0
NGTS-27 b,3.3704313,13.694,,,1.85,5765.0
TOI-1135 b,8.0277283,9.341,,1.16,1.15,5962.7
TOI-2818 b,4.039709,15.278,225.65817,0.98,1.23,5721.0
TOI-2141 b,18.26157,3.05,24.0,0.94,0.98,5659.0
TOI-1288 b,2.699835,5.24,42.0,0.89,1.01,5225.0
TOI-5238 b,4.872171,5.22,,1.0,1.02,5631.0
TOI-4860 b,1.52275959,8.474,212.94503,0.34,0.35,3390.0
HAT-P-64 b,4.007232,18.161,,,1.75,6202.0
BD-14 3065 b,4.2889731,21.59,3932.0,1.41,2.35,6935.0
HR 8799 b,171667.5,,,1.61,1.49,7204.58
TOI-1669 b,500.0,,,0.99,1.06,5497.0
HAT-P-64 b,4.007232,19.089,184.34048,1.3,1.74,6457.0
TOI-2145 b,10.26075,11.982,1671.77742,1.72,2.75,6177.0
HR 8799 b,170000.0,13.0,2000.0,1.5,,
11 Com b,326.03,,,2.7,19.0,4742.0
HD 159868 b,1178.4,,,1.09,,5558.0
HATS-55 b,4.2042001,,,1.2,1.13,6214.0
TOI-1736 c,570.1,,2800.0,1.08,1.15,5807.0
NGTS-8 b,2.4997,12.218,295.5819,0.89,0.98,5241.0
TOI-1859 b,63.4841349,11.13,,,1.4,6415.0
TOI-1669 c,2.6800535,2.296,13.0,0.99,1.06,5497.0
BD-14 3065 b,4.2889696,20.711,,,2.61,6736.9
TOI-1836 b,20.3807063,6.343,,,1.62,6351.0
HAT-P-2 b,,,3175.1217,1.36,,
NGTS-10 b,0.7668944,13.507,687.14846,0.7,0.7,4600.0
TOI-1669 c,2.6800572,2.363,,,1.07,5550.0
NGTS-2 b,4.5111228,,,,,
HR 8799 b,166510.17,,,1.51,,
HR 8799 b,,6.725,,1.61,1.49,7204.58
XO-6 b,3.76499245,,,1.47,1.93,6720.0
TrES-5 b,1.4822464,,,,,
NGTS-30 b,,9.93,,,0.91,5427.9
TOI-3629 b,3.936551,8.295,82.63539,0.63,0.6,3870.0
TrES-5 b,1.48224686,13.384,568.9157,0.9,0.87,5171.0
TOI-5205 b,1.630757,11.6,343.0,0.39,0.39,3430.0
TOI-1736 b,7.073076,3.182,12.3,1.04,1.43,5636.0
TOI-1859 b,63.48347,9.752,,1.29,1.36,6341.0
XO-6 b,3.7650007,23.203,1398.452,1.47,1.93,6720.0
NGTS-4 b,1.3373505,,,0.75,0.84,5143.0
NGTS-14 A b,3.535713,4.586,,,0.86,5222.0
HD 23472 d,3.9766833,0.758,,,0.69,4813.0
NGTS-13 b,4.119027,12.801,1538.2972,1.3,1.79,5819.0
TOI-3082 b,1.926907,3.662,,0.66,0.68,4263.0
TOI-2096 b,3.1190633,1.243,,0.23,0.23,3300.0
HD 23472 e,7.9076222,0.97,,,0.69,4813.0
TOI-2587 A b,5.4566563,10.941,,,1.72,5674.8
TOI-4463 A b,2.8807198,13.26,252.35576,1.06,1.06,5640.0
HD 23472 b,17.6671687,1.87,,,0.69,4813.0
GJ 143 b,35.6134391,3.122,,,0.71,4628.53
TOI-5803 b,5.3834388,3.274,,,0.76,5134.0
HD 213885 c,4.78503,,,1.07,1.1,5978.0
TOI-1853 b,1.2436239,3.893,,,0.84,4968.8
TOI-2000 c,9.1270425,8.362,,,1.18,5400.0
TOI-2796 b,4.8084983,17.262,139.8445,1.06,1.07,5764.0
TOI-3629 b,3.9365578,8.295,77.2323,0.64,0.61,3865.0
TOI-3261 b,0.8831279,4.375,,,0.86,5151.4
NGTS-18 b,3.05205702,13.645,,,1.39,5726.0
WASP-124 b,3.37265,13.899,190.698,1.07,1.02,6050.0
WASP-25 b,3.7648327,13.978,190.06234,1.05,0.92,5736.0
WASP-25 b,3.76483,11.994,139.8452,0.67,0.8,5750.0
WASP-25 b,3.7648327,13.675,182.43442,1.0,0.92,5750.0
WASP-56 b,4.617101,12.24,181.473,1.02,1.11,5600.0
HATS-70 b,1.8882378,,,1.78,1.88,7930.0
GJ 436 b,2.6438979,3.96,,0.45,0.44,3585.0
WASP-1 b,2.519961,16.97,291.76794,1.3,1.52,
TOI-270 b,3.36013771,1.184,,,0.37,3551.0
TOI-5301 b,5.858858,13.092,1182.32167,1.48,2.19,6240.0
TOI-3984 A b,4.353326,7.9,44.0,0.49,0.47,3476.0
TrES-5 b,1.4822446,13.552,568.9157,0.89,0.87,5171.0
WASP-153 b,3.3326099,,,1.34,1.73,5914.0
HAT-P-20 b,2.87531773,,,0.76,0.69,4595.0
NGTS-24 b,3.4671474,11.64,,,1.58,5886.0
Teegarden's Star b,4.91,,,0.09,0.11,2904.0
Teegarden's Star c,11.409,,,0.09,0.11,2904.0
WASP-25 b,3.764825,13.675,184.3414,1.0,0.92,5750.0
XO-6 b,3.7649916,,,1.47,1.93,6720.0
TOI-1288 c,443.0,,,0.89,1.01,5225.0
WASP-25 b,3.764825,13.675,184.334,1.0,0.92,5703.0
WASP-25 b,3.7648334,,,1.0,0.92,5703.0
WASP-124 b,3.3726492,,,1.07,1.02,6050.0
WASP-25 b,3.7648304,,,0.67,0.8,5750.0
WASP-124 b,3.37265,,,1.07,1.02,6050.0
WASP-25 b,3.764873,13.952,,,0.92,5703.0
WASP-124 b,3.372877,14.202,,,1.02,6050.0
WASP-13 b,4.35301,13.675,114.4188,0.72,1.37,5950.0
TrES-1 b,3.030065,11.96,238.998,0.88,0.81,5230.0
XO-5 b,4.18776,,,0.88,1.08,5470.0
55 Cnc d,5360.0,,,0.95,,
55 Cnc d,5574.2,,,0.91,0.94,5172.0
55 Cnc e,2.808,,,0.95,,
WASP-140 b,2.23598437,,,,,
WASP-13 b,4.3530135,15.771,158.915,1.19,,5989.0
eps CrB b,417.9,,,1.7,21.0,4406.0
WASP-160 B b,3.76849254,,,0.87,0.87,5298.0
Kepler-41 b,1.85555757,,,1.0,1.41,5651.75
KOI-94 b,3.74317556,1.55,,1.08,1.3,6098.0
HD 173416 b,323.6,,,2.0,13.5,4683.0
HD 37605 c,2720.0,,,1.0,0.9,5448.0
HD 210702 b,354.1,,,1.61,4.92,4951.0
nu Oph b,530.21,,7057.73298,2.7,14.6,4886.0
nu Oph c,3184.83,,7838.32346,2.7,14.6,4886.0
HD 23472 c,29.625,2.149,17.18,0.75,0.73,
TOI-1273 b,4.6313014,9.348,,,1.07,5736.0
WASP-25 b,3.76483312,,,,,
WASP-124 b,3.3726494,,,,,
WASP-124 b,3.37264959,,,1.07,1.02,6050.0
WASP-25 b,3.76483342,,,1.0,0.92,5703.0
Teegarden's Star b,4.90634,,,0.1,0.12,3034.0
Teegarden's Star c,11.416,,,0.1,0.12,3034.0
TOI-1273 b,4.631296,11.097,70.55791,1.06,1.06,5690.0
WASP-25 b,3.76483368,,,,,
WASP-124 b,3.372651,,,,,
TOI-5803 b,5.38305,3.273,,0.87,0.76,5134.0
55 Cnc b,14.653,,,0.95,,
HD 23472 f,12.1623316,1.156,,,0.69,4813.0
55 Cnc b,14.67,,,0.95,,
55 Cnc b,14.65162,,,0.9,0.96,5250.0
55 Cnc b,14.65126,,,0.9,0.96,5250.0
55 Cnc b,14.651,,,0.9,0.96,5250.0
55 Cnc b,14.6,,254.25,,,
55 Cnc b,14.648,,,0.85,,5200.0
55 Cnc b,14.65152,,263.9785,0.95,,
55 Cnc b,14.6516,,,0.91,0.94,5172.0
55 Cnc c,44.3446,,,0.9,0.96,5250.0
55 Cnc c,44.3787,,,0.9,0.96,5250.0
55 Cnc c,44.38,,,0.9,0.96,5250.0
55 Cnc c,44.4175,,54.4738,0.95,,
55 Cnc c,44.3989,,,0.91,0.94,5172.0
55 Cnc c,44.3827,,,0.97,0.96,5317.89
55 Cnc d,4545.0,,,,,
55 Cnc d,4517.4,,,0.95,,
55 Cnc d,5218.0,,,0.9,0.96,5250.0
55 Cnc d,5370.0,,,0.9,0.96,5250.0
55 Cnc d,4909.0,,,0.9,0.96,5250.0
HAT-P-15 b,10.863502,12.016,619.45067,1.01,1.08,5568.0
WASP-2 b,2.1522254,12.072,275.24078,0.84,0.82,5150.0
HAT-P-4 b,3.0565114,14.93,216.12,1.26,1.6,
MASCARA-4 b,2.8240691,17.786,,,1.84,8004.2
WASP-58 b,5.01718,16.029,308.2951,1.06,1.22,5800.0
WASP-56 b,4.6170519,12.468,,,1.11,5797.0
HAT-P-36 b,1.32734682,,,1.02,1.1,5560.0
HAT-P-52 b,2.7535993,10.711,,,0.86,5032.08
HAT-P-5 b,2.788491,14.056,336.8998,,,5960.0
TOI-2497 b,10.65569403,11.763,,,2.5,6715.0
